reconstruction,from,to,length,volume,biomass
corrected,node_1,node_2,0,0,0
corrected,node_2,node_3,0.0243361992315169,3.54980646415802e-05,0.0177490323207901
corrected,node_3,node_4,0.0728876687187692,5.8839765748314e-05,0.029419882874157
corrected,node_3,node_20,0.040525145724491,5.88840535029375e-05,0.0294420267514688
corrected,node_4,node_5,0.0484350822300099,1.4395474911986e-05,0.00719773745599302
corrected,node_20,node_21,0.0528070125915601,7.64328736826081e-05,0.038216436841304
corrected,node_5,node_6,0.0301974423735583,8.74441793554422e-06,0.00437220896777211
corrected,node_21,node_22,0.0709157671870374,5.79460522262458e-05,0.0289730261131229
corrected,node_21,node_41,0.0365027507268471,5.25911901557916e-05,0.0262955950778958
corrected,node_6,node_7,0.0458372458110867,1.08575073205452e-05,0.0054287536602726
corrected,node_6,node_12,0.0249523056693841,6.41699835610634e-06,0.00320849917805317
corrected,node_22,node_23,0.0527267900125528,1.67913067511047e-05,0.00839565337555237
corrected,node_41,node_42,0.0491781887305758,7.0526268892606e-05,0.035263134446303
corrected,node_7,node_8,0.0755002551312236,1.38300623257942e-05,0.00691503116289708
corrected,node_12,node_13,0.041249876473364,9.23248695166483e-06,0.00461624347583242
corrected,node_23,node_24,0.0723599052360964,2.25493271228241e-05,0.0112746635614121
corrected,node_42,node_43,0.0532201547174494,7.62888662537177e-05,0.0381444331268589
corrected,node_8,node_9,0.0425568742873342,5.83158875049302e-06,0.00291579437524651
corrected,node_8,node_10,0.0578275612932398,8.90796730409216e-06,0.00445398365204608
corrected,node_13,node_14,0.0493925479987484,1.04526632143062e-05,0.00522633160715308
corrected,node_24,node_25,0.0453004206258115,1.37963844894374e-05,0.00689819224471872
corrected,node_43,node_44,0.0052401010784131,3.34960577022476e-06,0.00167480288511238
corrected,node_43,node_45,0.0599052912358515,8.5814308838172e-05,0.042907154419086
corrected,node_10,node_11,0.0468861836506487,5.51170992776324e-06,0.00275585496388162
corrected,node_14,node_15,0.0360994833646425,5.44047149764829e-06,0.00272023574882414
corrected,node_14,node_16,0.0596303286092244,1.13347984623991e-05,0.00566739923119957
corrected,node_25,node_26,0.0597682445488345,1.15213025772608e-05,0.00576065128863039
corrected,node_25,node_27,0.0650966275275739,1.90922365915624e-05,0.00954611829578119
corrected,node_45,node_46,0.00296023890023343,2.11785780795468e-06,0.00105892890397734
corrected,node_45,node_51,0.0639553475177963,9.14521186447826e-05,0.0457260593223913
corrected,node_16,node_17,0.0279640834565298,4.63870757324911e-06,0.00231935378662455
corrected,node_27,node_28,0.0275627641615459,6.29096530589347e-06,0.00314548265294673
corrected,node_27,node_32,0.0331653308164298,8.71429203634362e-06,0.00435714601817181
corrected,node_46,node_47,0.0352652566172219,6.45985495153119e-06,0.0032299274757656
corrected,node_51,node_52,0.064923796581117,4.76973738131777e-05,0.0238486869065888
corrected,node_51,node_59,0.062974465774715,8.97661282818676e-05,0.0448830641409338
corrected,node_17,node_18,0.0212971635046021,2.73450761729848e-06,0.00136725380864924
corrected,node_17,node_19,0.0216129524074847,2.77505419807691e-06,0.00138752709903845
corrected,node_28,node_29,0.0333570794318229,5.53330264596022e-06,0.00276665132298011
corrected,node_32,node_33,0.0267882759373389,6.29654489640533e-06,0.00314827244820266
corrected,node_47,node_48,0.0297092397885284,4.92819569133206e-06,0.00246409784566603
corrected,node_52,node_53,0.0778838253339469,1.64821097319827e-05,0.00824105486599135
corrected,node_59,node_60,0.0603352913060186,8.58292352940868e-05,0.0429146176470434
corrected,node_29,node_30,0.0539370319510268,7.82404566567528e-06,0.00391202283283764
corrected,node_33,node_34,0.0295413526113465,5.9631588842281e-06,0.00298157944211405
corrected,node_33,node_38,0.0331552640829695,6.36611109771072e-06,0.00318305554885536
corrected,node_48,node_49,0.0485811560122386,7.04712827869673e-06,0.00352356413934837
corrected,node_53,node_54,0.0828637828698475,1.64243180353023e-05,0.00821215901765116
corrected,node_60,node_61,0.0784069043901595,0.000111486101549119,0.0557430507745593
