reconstruction,from,to,length,volume,biomass
corrected,node_1,node_2,0,0,0
corrected,node_2,node_3,0.0861432180939325,6.60626878108248e-05,0.0330313439054124
corrected,node_2,node_63,0.0242650213447513,2.67996695192045e-05,0.0133998347596022
corrected,node_3,node_4,0.0352064481803294,1.6114050400156e-05,0.00805702520007798
corrected,node_63,node_64,0.0301293196096033,3.26995345142484e-05,0.0163497672571242
corrected,node_4,node_5,0.0283535955322969,1.28969540067092e-05,0.00644847700335461
corrected,node_64,node_65,0.0448150505515872,2.51571895860611e-05,0.0125785947930305
corrected,node_64,node_69,0.0450362959522652,4.87916995443463e-05,0.0243958497721732
corrected,node_5,node_6,0.0242163381615929,1.09455445069146e-05,0.00547277225345732
corrected,node_65,node_66,0.0518715685044717,8.3636571756459e-06,0.00418182858782295
corrected,node_69,node_70,0.0582736194821854,6.30208803478752e-05,0.0315104401739376
corrected,node_6,node_7,0.0230161312846478,1.03362464702417e-05,0.00516812323512085
corrected,node_66,node_67,0.0409191488518167,5.81454023544019e-06,0.00290727011772009
corrected,node_70,node_71,0.0510307061762581,5.51551372467512e-05,0.0275775686233756
corrected,node_7,node_8,0.0203308384792765,9.07063043756341e-06,0.00453531521878171
corrected,node_67,node_68,0.0388937982245262,4.53313046157237e-06,0.00226656523078618
corrected,node_71,node_72,0.0463235091874734,2.45411447777863e-05,0.0122705723888931
corrected,node_71,node_74,0.0648094780458682,6.99640884339218e-05,0.0349820442169609
corrected,node_8,node_9,0.0246023593372666,1.09033209285479e-05,0.00545166046427394
corrected,node_72,node_73,0.0432896858672641,5.04547775313564e-06,0.00252273887656782
corrected,node_74,node_75,0.0206157228207198,2.22288215526766e-05,0.0111144107763383
corrected,node_9,node_10,0.0220869099714612,9.72216835911938e-06,0.00486108417955969
corrected,node_75,node_76,0.0450273848645894,4.85215216296804e-05,0.0242607608148402
corrected,node_10,node_11,0.0246259920833944,1.07649571835273e-05,0.00538247859176367
corrected,node_76,node_77,0.0463243303167519,4.98891639978047e-05,0.0249445819989024
corrected,node_11,node_12,0.0309945277288654,1.34535253295618e-05,0.00672676266478092
corrected,node_77,node_78,0.0473399564821418,5.09523118422726e-05,0.0254761559211363
corrected,node_12,node_13,0.0550660067260628,1.60308449836717e-05,0.00801542249183586
corrected,node_12,node_17,0.0418189604991318,1.77499565268619e-05,0.00887497826343095
corrected,node_78,node_79,0.0337494989618674,3.63029488830441e-05,0.018151474441522
corrected,node_13,node_14,0.0430086956799305,6.93462713022862e-06,0.00346731356511431
corrected,node_17,node_18,0.0300652865204223,8.2326907547606e-06,0.0041163453773803
corrected,node_17,node_21,0.0638175507556723,2.61378160052972e-05,0.0130689080026486
corrected,node_79,node_80,0.0295706464741947,3.17887535274349e-05,0.0158943767637174
corrected,node_14,node_15,0.0233132732641604,2.95110789913466e-06,0.00147555394956733
corrected,node_14,node_16,0.0652926667169081,8.26506438287456e-06,0.00413253219143728
corrected,node_18,node_19,0.0271416738269189,3.85678487828094e-06,0.00192839243914047
corrected,node_21,node_22,0.0716599443643432,2.23342511268774e-05,0.0111671255634387
corrected,node_21,node_31,0.032388322372024,1.24193121090327e-05,0.00620965605451633
corrected,node_80,node_81,0.0291678216626316,3.1336778699308e-05,0.015668389349654
corrected,node_19,node_20,0.0363074034476155,4.23168227486706e-06,0.00211584113743353
corrected,node_22,node_23,0.0788751505113925,1.27149375011185e-05,0.00635746875055923
corrected,node_22,node_24,0.0554264948431484,1.21151004554315e-05,0.00605755022771576
corrected,node_31,node_32,0.0522191261640959,1.8921912445877e-05,0.00946095622293851
corrected,node_81,node_82,0.0810204617996126,4.51269221786393e-05,0.0225634610893196
corrected,node_81,node_86,0.0795493280077996,8.53092859192186e-05,0.0426546429596093
corrected,node_24,node_25,0.0294141676266447,5.96539718643963e-06,0.00298269859321981
corrected,node_32,node_33,0.0579516072142956,1.81697942598024e-05,0.00908489712990121
corrected,node_32,node_47,0.0247497568630533,7.93519844406127e-06,0.00396759922203064
corrected,node_82,node_83,0.0642736109348665,1.03633351139888e-05,0.00518166755699442
corrected,node_86,node_87,0.0552063103735818,5.90957161892916e-05,0.0295478580946458
corrected,node_25,node_26,0.0349434221055678,5.13668996900732e-06,0.00256834498450366
corrected,node_25,node_27,0.0683108975478716,1.00417154664462e-05,0.00502085773322311
corrected,node_25,node_28,0.0205044743454919,3.57757014457465e-06,0.00178878507228732
corrected,node_33,node_34,0.054870633507358,1.45636190505813e-05,0.00728180952529067
corrected,node_47,node_48,0.042200361926576,8.53989242493735e-06,0.00426994621246868
corrected,node_47,node_50,0.0309917860613386,8.43350793611975e-06,0.00421675396805987
corrected,node_83,node_84,0.0455016190964433,6.46570132658555e-06,0.00323285066329278
corrected,node_87,node_88,0.0520536422745394,5.56868971846475e-05,0.0278434485923238
corrected,node_28,node_29,0.0173626147258193,2.46719750406637e-06,0.00123359875203319
corrected,node_34,node_35,0.042828194028529,9.7943620664392e-06,0.0048971810332196
corrected,node_34,node_41,0.0564896597975818,1.2918597050787e-05,0.00645929852539352
corrected,node_48,node_49,0.0310682554038565,3.6210517200226e-06,0.0018105258600113
corrected,node_50,node_51,0.0381109008051833,8.94425049072311e-06,0.00447212524536156
corrected,node_50,node_58,0.0293125087038173,6.5056659449544e-06,0.0032528329724772
corrected,node_84,node_85,0.0480146407898395,5.59617832923871e-06,0.00279808916461935
corrected,node_88,node_89,0.0353218196660348,3.77641003477922e-05,0.0188820501738961
corrected,node_29,node_30,0.0246751329846413,2.87592372260241e-06,0.00143796186130121
corrected,node_35,node_36,0.0785512293845891,1.49778494038264e-05,0.00748892470191321
corrected,node_41,node_42,0.0425860132531138,7.43030262681651e-06,0.00371515131340826
corrected,node_41,node_45,0.0404192128959669,6.59967034129215e-06,0.00329983517064607
corrected,node_51,node_52,0.0354744725734978,7.19446905880413e-06,0.00359723452940207
corrected,node_58,node_59,0.0336376102882527,5.95480893278575e-06,0.00297740446639288
corrected,node_89,node_90,0.0348721440612748,3.72604810469245e-05,0.0186302405234623
corrected,node_36,node_37,0.0525680215448754,9.30602743749662e-06,0.00465301371874831
corrected,node_42,node_43,0.0407037454593029,5.78393178615017e-06,0.00289196589307508
corrected,node_45,node_46,0.0395999687684436,4.61543569659255e-06,0.00230771784829627
corrected,node_52,node_53,0.0388977895705166,5.71798276939778e-06,0.00285899138469889
corrected,node_52,node_54,0.0387204863193092,7.09711999722077e-06,0.00354855999861038
corrected,node_59,node_60,0.0354073441636628,4.76294906571716e-06,0.00238147453285858
corrected,node_59,node_61,0.0455550395726563,6.8486795473589e-06,0.00342433977367945
corrected,node_90,node_91,0.0364862240250311,3.89611722929753e-05,0.0194805861464876
corrected,node_37,node_38,0.0232018209221916,3.48812860008305e-06,0.00174406430004152
corrected,node_37,node_40,0.0329835578080753,4.43690453369911e-06,0.00221845226684956
corrected,node_43,node_44,0.0234633113997635,2.7346841010903e-06,0.00136734205054515
corrected,node_54,node_55,0.0337721670954792,5.445349655098e-06,0.002722674827549
corrected,node_61,node_62,0.0364072737462131,4.24332230781436e-06,0.00212166115390718
corrected,node_91,node_92,0.033669215914249,3.59309698125959e-05,0.017965484906298
corrected,node_38,node_39,0.0120169932081585,1.4005985646848e-06,0.000700299282342401
corrected,node_55,node_56,0.0336195627624972,4.25572831878493e-06,0.00212786415939246
corrected,node_55,node_57,0.0292405640061562,3.70141328658372e-06,0.00185070664329186
corrected,node_92,node_93,0.0450500946550283,2.62362371725384e-05,0.0131181185862692
corrected,node_92,node_100,0.0403154779823026,4.29039482671734e-05,0.0214519741335867
corrected,node_93,node_94,0.0459566115006679,9.3203195284726e-06,0.0046601597642363
corrected,node_100,node_101,0.0416732394080958,4.42250584484504e-05,0.0221125292242252
corrected,node_94,node_95,0.0440690433583034,6.478158100213e-06,0.0032390790501065
corrected,node_94,node_96,0.0151742949346405,2.78131300150168e-06,0.00139065650075084
corrected,node_101,node_102,0.0420461917437324,2.49790742769198e-05,0.0124895371384599
corrected,node_101,node_111,0.0776918565887275,8.21640972955469e-05,0.0410820486477735
corrected,node_96,node_97,0.0308083746109899,4.14430176946936e-06,0.00207215088473468
corrected,node_96,node_98,0.0483573960527293,7.26998181576927e-06,0.00363499090788463
corrected,node_102,node_103,0.0502337387306211,1.12463938877309e-05,0.00562319694386547
corrected,node_111,node_112,0.0538884424660219,3.35819484473537e-05,0.0167909742236768
corrected,node_111,node_127,0.0388681729455179,4.07652669861332e-05,0.0203826334930666
corrected,node_98,node_99,0.0165179259333703,1.92518901801006e-06,0.00096259450900503
corrected,node_103,node_104,0.0365373148859785,6.33974469994545e-06,0.00316987234997272
corrected,node_103,node_106,0.0376834535281144,7.5910919259608e-06,0.0037955459629804
corrected,node_112,node_113,0.0470323646891624,1.28154663325355e-05,0.00640773316626777
corrected,node_127,node_128,0.0269523814475213,2.81128320156307e-05,0.0140564160078154
corrected,node_104,node_105,0.0426246627522192,4.9679683126059e-06,0.00248398415630295
corrected,node_106,node_107,0.0227530978613964,4.02794221208125e-06,0.00201397110604063
corrected,node_113,node_114,0.0223394465873585,5.92927708508178e-06,0.00296463854254089
corrected,node_128,node_129,0.0397544379760315,2.52292188534143e-05,0.0126146094267072
corrected,node_128,node_148,0.060171430054141,6.23249221705678e-05,0.0311624610852839
corrected,node_107,node_108,0.03766468334676,6.07297038095935e-06,0.00303648519047967
corrected,node_114,node_115,0.047974919230185,9.26131965999919e-06,0.00463065982999959
corrected,node_114,node_117,0.0375228834097631,9.36919057809515e-06,0.00468459528904757
corrected,node_129,node_130,0.0290333059084593,8.65202768103472e-06,0.00432601384051736
corrected,node_148,node_149,0.0322576485748695,3.31779584543216e-05,0.0165889792271608
corrected,node_108,node_109,0.032205603577937,4.57636053205045e-06,0.00228818026602522
corrected,node_115,node_116,0.0374323535997464,4.36279690072428e-06,0.00218139845036214
corrected,node_117,node_118,0.0832362136483753,1.37511541570087e-05,0.00687557707850437
corrected,node_117,node_119,0.0425813234818055,7.75481650806235e-06,0.00387740825403118
corrected,node_117,node_121,0.0868663389249023,1.88597006532868e-05,0.00942985032664338
corrected,node_130,node_131,0.0423691490303197,1.23709468198746e-05,0.00618547340993728
corrected,node_149,node_150,0.0357402112437599,2.24618598489181e-05,0.011230929924459
corrected,node_149,node_169,0.0454782556810533,4.6437040722476e-05,0.023218520361238
corrected,node_109,node_110,0.0702455292611884,8.18722169135862e-06,0.00409361084567931
corrected,node_119,node_120,0.0380544657572722,4.43530500485736e-06,0.00221765250242868
corrected,node_121,node_122,0.0316803693915533,4.6570205738982e-06,0.0023285102869491
corrected,node_121,node_123,0.0312451123805507,5.72695058793292e-06,0.00286347529396646
corrected,node_131,node_132,0.0377419040614471,1.07841563563862e-05,0.0053920781781931
corrected,node_150,node_151,0.0300202250344282,8.946133065511e-06,0.0044730665327555
corrected,node_169,node_170,0.0304162557447334,3.0831195348157e-05,0.0154155976740785
corrected,node_123,node_124,0.0312451123805507,4.20305115609035e-06,0.00210152557804517
corrected,node_123,node_125,0.0217920041864163,2.9314315555561e-06,0.00146571577777805
corrected,node_123,node_126,0.0312451123805507,4.20305115609035e-06,0.00210152557804517
corrected,node_132,node_133,0.0278767035493973,7.78439411575568e-06,0.00389219705787784
corrected,node_151,node_152,0.0405900625338899,1.18514890318614e-05,0.0059257445159307
corrected,node_170,node_171,0.0446367612309364,2.72421793337966e-05,0.0136210896668983
corrected,node_170,node_187,0.0519772463450883,5.23465918152138e-05,0.0261732959076069
corrected,node_133,node_134,0.0239635525590975,6.52963343558666e-06,0.00326481671779333
corrected,node_152,node_153,0.0241909016823827,6.91217024239286e-06,0.00345608512119643
corrected,node_171,node_172,0.0431818051299658,1.20582474597748e-05,0.0060291237298874
corrected,node_187,node_188,0.0617343799939494,6.17698293297566e-05,0.0308849146648783
corrected,node_134,node_135,0.0333326710518357,6.54322785652643e-06,0.00327161392826321
corrected,node_134,node_137,0.0166984958947837,4.30072515356417e-06,0.00215036257678209
corrected,node_153,node_154,0.0548594109505164,1.11016457353605e-05,0.00555082286768023
corrected,node_153,node_156,0.0308944005068919,8.40700730641535e-06,0.00420350365320767
corrected,node_172,node_173,0.0506224262744872,1.37936930001192e-05,0.00689684650005961
corrected,node_188,node_189,0.0463555694738518,2.66642397927755e-05,0.0133321198963877
corrected,node_188,node_199,0.0355508172503774,3.54134260770294e-05,0.0177067130385147
corrected,node_135,node_136,0.0191718029078448,2.23450235595682e-06,0.00111725117797841
corrected,node_137,node_138,0.0449077394680909,8.35204330293356e-06,0.00417602165146678
corrected,node_137,node_140,0.0317763773111896,7.38843021347334e-06,0.00369421510673667
corrected,node_154,node_155,0.0476473390753683,5.55336876405186e-06,0.00277668438202593
corrected,node_156,node_157,0.0598359765542226,1.2258906487325e-05,0.0061294532436625
corrected,node_156,node_160,0.0269628430380676,6.60835314625464e-06,0.00330417657312732
corrected,node_173,node_174,0.0390172782911198,1.0355863256913e-05,0.00517793162845648
corrected,node_189,node_190,0.0437155851883797,1.01961341579402e-05,0.00509806707897009
corrected,node_199,node_200,0.0259227109421179,2.57074567098543e-05,0.0128537283549272
corrected,node_138,node_139,0.0398067777785553,4.63953959660388e-06,0.00231976979830194
corrected,node_140,node_141,0.0370377365804702,7.91844707373756e-06,0.00395922353686878
corrected,node_157,node_158,0.0665811257561006,9.46106274184053e-06,0.00473053137092027
corrected,node_160,node_161,0.0394916318826285,7.02870831016829e-06,0.00351435415508415
corrected,node_160,node_163,0.0430795298340948,9.16392233052293e-06,0.00458196116526146
