reconstruction,from,to,length,volume,biomass
corrected,node_1,node_2,0,0,0
corrected,node_2,node_3,0.0625291471406249,5.92305451475778e-05,0.0296152725737889
corrected,node_2,node_95,0.0222267563278399,3.06604190821976e-05,0.0153302095410988
corrected,node_3,node_4,0.0581980165943353,3.22915492396072e-05,0.0161457746198036
corrected,node_95,node_96,0.0199405779292324,2.70414100818315e-05,0.0135207050409157
corrected,node_4,node_5,0.0474563113106959,2.6223191738197e-05,0.0131115958690985
corrected,node_96,node_97,0.0267116596969203,3.62099852819526e-05,0.0181049926409763
corrected,node_5,node_6,0.0364002677004052,2.00302857018877e-05,0.0100151428509438
corrected,node_97,node_98,0.0436614877230259,3.259756067782e-05,0.01629878033891
corrected,node_97,node_112,0.0283925133594379,3.83715059478049e-05,0.0191857529739025
corrected,node_6,node_7,0.0339024769692459,1.85773884729558e-05,0.00928869423647791
corrected,node_98,node_99,0.0374241440271719,1.01320834723996e-05,0.00506604173619982
corrected,node_112,node_113,0.040193949317941,5.4155118909638e-05,0.027077559454819
corrected,node_7,node_8,0.0329624110902807,1.79854820379555e-05,0.00899274101897777
corrected,node_99,node_100,0.034210618211295,8.99837734163149e-06,0.00449918867081574
corrected,node_113,node_114,0.046034211456387,3.37117428311973e-05,0.0168558714155987
corrected,node_113,node_126,0.0539781812622807,7.25307012936038e-05,0.0362653506468019
corrected,node_8,node_9,0.0324109586323309,1.76085501048634e-05,0.0088042750524317
corrected,node_100,node_101,0.0295561632345509,5.68101797235077e-06,0.00284050898617539
corrected,node_100,node_103,0.0335158247180494,8.23583596801526e-06,0.00411791798400763
corrected,node_114,node_115,0.0491426436587025,1.25276349074285e-05,0.00626381745371423
corrected,node_126,node_127,0.0110489395323233,6.97509470814265e-06,0.00348754735407132
corrected,node_126,node_129,0.0544185061105822,7.28957920647317e-05,0.0364478960323658
corrected,node_9,node_10,0.0315488273259448,1.70656089725791e-05,0.00853280448628956
corrected,node_101,node_102,0.0296720282425391,3.46825388160462e-06,0.00173412694080231
corrected,node_103,node_104,0.032005486942426,7.28326422373348e-06,0.00364163211186674
corrected,node_115,node_116,0.0457908137807343,1.12811972014487e-05,0.00564059860072433
corrected,node_127,node_128,0.0234362319317859,2.73937466300575e-06,0.00136968733150287
corrected,node_129,node_130,0.0436967304776799,5.84878375913827e-05,0.0292439187956913
corrected,node_10,node_11,0.0307365769857571,1.65530735092567e-05,0.00827653675462837
corrected,node_104,node_105,0.0307019490097824,6.66545908282527e-06,0.00333272954141264
corrected,node_116,node_117,0.0418706325085664,9.93485431471796e-06,0.00496742715735898
corrected,node_130,node_131,0.0377485309951864,5.05064373110133e-05,0.0252532186555066
corrected,node_11,node_12,0.0281218087649829,1.50774592715866e-05,0.0075387296357933
corrected,node_105,node_106,0.026292511393463,5.40889193656086e-06,0.00270444596828043
corrected,node_117,node_118,0.046997950796259,1.01514406145117e-05,0.00507572030725586
corrected,node_117,node_124,0.0392895958170103,7.07768204415743e-06,0.00353884102207872
corrected,node_131,node_132,0.0339249284181834,4.53727914445589e-05,0.0226863957222794
corrected,node_12,node_13,0.0302065355028938,1.61221978537261e-05,0.00806109892686306
corrected,node_106,node_107,0.0134481987097625,2.59775899113846e-06,0.00129887949556923
corrected,node_118,node_119,0.0136218622090912,2.01914127233762e-06,0.00100957063616881
corrected,node_118,node_120,0.0136095906630579,2.52512010070697e-06,0.00126256005035348
